,Unnamed: 0,split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,split4_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,split0_test_mae,split1_test_mae,split2_test_mae,split3_test_mae,split4_test_mae,mean_test_mae,std_test_mae,rank_test_mae,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_k,param_min_k,param_sim_options
10,10.0,0.7952532377643845,0.7928792762171728,0.7956056133986481,0.7933114237867988,0.7941085526704209,0.7942316207674851,0.0010604056828763797,2,0.6027766952505829,0.6006451980648925,0.601868036529902,0.6003056134849699,0.6003916544117144,0.6011974395484123,0.0009688511706655127,2,49.44484996795654,0.6117370320213913,140.1769033908844,1.7841745118600587,"{'k': 100, 'min_k': 5, 'sim_options': {'name': 'msd', 'user_based': False}}",100,5,"{'name': 'msd', 'user_based': False}"
11,11.0,0.7952536339879157,0.7928107617616635,0.7955771240988562,0.7933091084981627,0.7941046913796462,0.7942110639452489,0.0010713316567464103,1,0.6027784596205024,0.6006298864398631,0.6018560750555592,0.6003017699604469,0.6003907871015514,0.6011913956355845,0.0009703887125344688,1,47.15616989135742,0.4527977416713223,141.86215915679932,0.2730429751218724,"{'k': 100, 'min_k': 10, 'sim_options': {'name': 'msd', 'user_based': False}}",100,10,"{'name': 'msd', 'user_based': False}"
12,12.0,0.7964245801864193,0.7938628534566832,0.7969208174270624,0.7949103234561038,0.7954232688626259,0.795508368677779,0.001086929197922562,6,0.6038136183109092,0.6017216496645251,0.602895330248364,0.6016738920285251,0.6016997027431255,0.6023608385990897,0.0008618362859778246,6,48.18003120422363,1.293826362047518,178.51833176612854,0.9263951454724026,"{'k': 200, 'min_k': 1, 'sim_options': {'name': 'msd', 'user_based': False}}",200,1,"{'name': 'msd', 'user_based': False}"
13,13.0,0.7964254941760033,0.7938508571808616,0.7969208174270624,0.7949087778027447,0.7954228520334412,0.7955057597240227,0.0010908953471294694,5,0.60381151318154,0.6017153007806589,0.602895330248364,0.6016719990990944,0.601699379420336,0.6023587045459987,0.0008624224571906693,5,46.37086987495422,0.38314863981840747,178.25849566459655,0.7531363404148638,"{'k': 200, 'min_k': 5, 'sim_options': {'name': 'msd', 'user_based': False}}",200,5,"{'name': 'msd', 'user_based': False}"
14,14.0,0.7964258898163343,0.793782426586297,0.7968923751464718,0.7949064671666507,0.7954189971228158,0.7954852311677142,0.0011048792721653838,4,0.6038132775514593,0.6016999891556295,0.6028833687740209,0.6016681555745712,0.6016985121101732,0.6023526606331708,0.0008645797170579033,4,45.03164944648743,0.491614188714943,122.3757559299469,3.726458320338169,"{'k': 200, 'min_k': 10, 'sim_options': {'name': 'msd', 'user_based': False}}",200,10,"{'name': 'msd', 'user_based': False}"
0,,0.7944988127060745,0.7942483484721278,0.7963208883554745,0.7955779900993183,0.7944587586387865,0.7950209596543563,0.0007982146329174706,30,0.6012270885925959,0.6007240416463837,0.603263954237437,0.601894885403567,0.601688916863385,0.6017597773486737,0.0008535021105318662,30,70.79484252929687,0.9789482832562809,134.17446632385253,0.8914822654866998,"{'k': 75, 'min_k': 1, 'sim_options': {'name': 'msd', 'user_based': False}}",75,1,"{'name': 'msd', 'user_based': False}"
1,,0.8072066311579562,0.8069847521641854,0.8092764852170384,0.8082471450923406,0.8073254583907101,0.807808094404446,0.000851061112761807,60,0.6123618232287018,0.6119630262941904,0.6145312433646214,0.6129527533769984,0.6130090939521385,0.6129635880433301,0.0008744113551492797,60,208.01566667556762,3.380862500174257,124.45690989494324,1.0861338779678753,"{'k': 75, 'min_k': 1, 'sim_options': {'name': 'cosine', 'user_based': False}}",75,1,"{'name': 'cosine', 'user_based': False}"
2,,0.7944988127060745,0.7942309306550909,0.7963208883554745,0.7955779900993183,0.79445688940474,0.7950171022441397,0.000801870519263571,29,0.6012270885925959,0.6007208672044506,0.603263954237437,0.601894885403567,0.6016878065161162,0.6017589203908333,0.0008542915224515823,29,48.100739288330075,0.25501818085519923,130.08825430870056,1.8186919230934973,"{'k': 75, 'min_k': 5, 'sim_options': {'name': 'msd', 'user_based': False}}",75,5,"{'name': 'msd', 'user_based': False}"
3,,0.8072066311579562,0.8069676092533338,0.8092764852170384,0.8082471450923406,0.8073224762427335,0.8078040693926806,0.0008547343922589409,59,0.6123618232287018,0.6119598518522573,0.6145312433646214,0.6129527533769984,0.6130073578084373,0.6129626059262032,0.0008751204259218989,59,221.07039566040038,3.2493601108998114,135.43341159820557,3.704231704376934,"{'k': 75, 'min_k': 5, 'sim_options': {'name': 'cosine', 'user_based': False}}",75,5,"{'name': 'cosine', 'user_based': False}"
4,,0.7945034785923395,0.794217440603352,0.7963176247733855,0.7955736899044972,0.7944615372802879,0.7950147542307724,0.0008016285338484202,28,0.6012336996085541,0.6007081387018257,0.6032598626583366,0.6018864778645623,0.6016932696656312,0.601756289699782,0.0008547950681439771,28,61.138631391525266,3.2801175191096528,130.25940690040588,0.5409763173247822,"{'k': 75, 'min_k': 10, 'sim_options': {'name': 'msd', 'user_based': False}}",75,10,"{'name': 'msd', 'user_based': False}"
