Year,Rated,Released,Runtime,imdbRating,imdbVotes,imdbID,Rotten Tomatoes,Metacritic,Oscars_won,Oscars_nominated,Golden_globe_won,Golden_globe_nominated
1994.0,3.0,10.0,127.0,7.8,161533.0,tt0109707,9.2,7.0,2.0,,,
1995.0,2.0,5.0,111.0,6.6,45736.0,tt0113117,4.8,5.0,,,,
1995.0,2.0,5.0,101.0,6.5,11116.0,tt0113097,5.0,,,,,
1995.0,1.0,1.0,81.0,6.4,2492.0,tt0113028,5.7,,,,,
1995.0,0.0,4.0,78.0,6.8,44050.0,tt0113198,5.9,,,,,
1995.0,3.0,3.0,106.0,5.3,6129.0,tt0113303,2.0,,,,,
1995.0,1.0,6.0,96.0,6.7,6294.0,tt0113089,2.7,,,,,
1994.0,3.0,3.0,111.0,6.8,6128.0,tt0109771,5.8,,,1.0,,
1980.0,1.0,12.0,111.0,6.5,48333.0,tt0080745,8.0,5.8,,,,
1995.0,0.0,12.0,90.0,6.3,715.0,tt0113234,,,,,,
1994.0,2.0,6.0,109.0,6.2,3164.0,tt0109906,6.5,,,,,
1994.0,2.0,10.0,170.0,8.3,23350.0,tt0110057,9.8,9.8,,1.0,,
1994.0,3.0,10.0,99.0,7.3,57639.0,tt0110005,9.2,,,1.0,,
1995.0,1.0,1.0,113.0,6.0,6338.0,tt0110066,1.4,,,,,
1994.0,3.0,1.0,121.0,7.5,22321.0,tt0110116,5.5,,,,,
1995.0,1.0,2.0,100.0,6.6,24212.0,tt0110006,2.9,4.2,,,,
2003.0,3.0,3.0,94.0,6.1,42641.0,tt0269347,2.9,4.0,,,,
1994.0,1.0,12.0,100.0,6.2,23087.0,tt0110099,4.4,6.6,,,,
1994.0,3.0,11.0,123.0,7.6,285644.0,tt0110148,6.2,5.9,,2.0,,
1995.0,2.0,3.0,139.0,5.7,2720.0,tt0113463,3.1,4.5,,,,
1995.0,3.0,2.0,82.0,4.8,2415.0,tt0110189,1.7,,,,,
1994.0,2.0,11.0,109.0,4.6,63088.0,tt0110216,3.6,5.9,,1.0,,
1995.0,3.0,2.0,102.0,6.4,23670.0,tt0113501,2.3,,,,,
1995.0,1.0,8.0,89.0,4.7,5479.0,tt0113538,0.5,3.4,,,,
1995.0,3.0,4.0,101.0,5.9,16375.0,tt0113552,6.8,,,,,
1977.0,1.0,5.0,121.0,8.6,1188658.0,tt0076759,9.2,9.0,6.0,,,
1994.0,1.0,12.0,115.0,7.3,49158.0,tt0110367,,8.7,,3.0,,
1995.0,0.0,5.0,97.0,7.7,30926.0,tt0113670,9.7,8.3,,2.0,,
1994.0,3.0,1.0,101.0,7.4,3000.0,tt0110296,7.5,,,,,
1994.0,,11.0,102.0,7.1,3886.0,tt0109731,10.0,,,,,
1992.0,3.0,5.0,105.0,7.1,16229.0,tt0103994,9.1,8.6,,,,1.0
1994.0,3.0,1.0,133.0,7.6,142629.0,tt0110322,,4.5,1.0,,,
1995.0,2.0,3.0,95.0,6.2,29341.0,tt0110443,3.3,3.4,,,,
1994.0,3.0,5.0,98.0,6.7,6933.0,tt0110365,6.1,6.2,,,,
1993.0,3.0,7.0,92.0,6.5,1905.0,tt0107566,7.1,,,,,
1994.0,2.0,10.0,108.0,6.0,4296.0,tt0110391,3.0,5.5,,,,
1995.0,3.0,3.0,111.0,6.5,5338.0,tt0113691,4.5,,,,,
1994.0,2.0,12.0,110.0,7.2,14889.0,tt0110428,9.3,8.9,1.0,,,
1931.0,,11.0,70.0,7.8,62182.0,tt0021884,10.0,9.1,,,,
2005.0,2.0,2.0,100.0,5.4,22330.0,tt0331933,0.9,3.5,,,,
1994.0,2.0,12.0,97.0,5.5,9896.0,tt0110538,1.0,1.4,,,,
1994.0,2.0,8.0,110.0,5.6,11026.0,tt0110516,1.0,,,,,
1947.0,,10.0,96.0,7.9,38715.0,tt0039628,9.6,8.8,3.0,,,
1995.0,2.0,1.0,95.0,5.3,3001.0,tt0113808,4.5,,,,,
1995.0,3.0,5.0,128.0,7.3,3559.0,tt0113896,8.5,,,1.0,,
1995.0,3.0,1.0,122.0,7.3,25580.0,tt0113870,5.0,,,,,
1986.0,2.0,11.0,107.0,5.4,716.0,tt0091642,0.0,,,,,
1994.0,2.0,12.0,112.0,6.5,26454.0,tt0110638,5.5,,,1.0,,
1995.0,3.0,4.0,98.0,6.7,2739.0,tt0113967,6.4,,,,,
1993.0,3.0,8.0,93.0,4.1,186.0,tt0117169,,,,,,
1994.0,3.0,4.0,89.0,3.4,437.0,tt0106402,,,,,,
1995.0,3.0,9.0,83.0,3.9,1564.0,tt0113948,,,,,,
1994.0,3.0,3.0,100.0,5.6,523.0,tt0110671,5.0,,,,,
1994.0,3.0,8.0,118.0,7.3,209536.0,tt0110632,4.6,7.4,,,,1.0
1994.0,1.0,10.0,109.0,6.5,19301.0,tt0110737,5.2,,,,,
1994.0,3.0,3.0,102.0,7.9,30426.0,tt0110729,9.3,7.7,,,,
1996.0,3.0,2.0,106.0,4.4,5253.0,tt0114151,1.4,,,,,
1995.0,3.0,3.0,127.0,6.6,114683.0,tt0114069,5.9,6.4,,,,
1994.0,3.0,11.0,110.0,8.5,993099.0,tt0110413,7.3,6.4,,,,
1995.0,3.0,5.0,113.0,6.0,2042.0,tt0114113,6.5,,,,,
1995.0,1.0,4.0,94.0,5.3,956.0,tt0114210,0.0,,,,,
1994.0,3.0,10.0,154.0,8.9,1757271.0,tt0110912,9.1,9.4,1.0,,,
2009.0,1.0,2.0,92.0,5.6,41339.0,tt0838232,1.3,3.6,,,,
1991.0,,12.0,105.0,7.3,3398.0,tt0105652,,,,,,
1994.0,3.0,3.0,98.0,7.0,9454.0,tt0110889,7.0,,,,,
1994.0,2.0,10.0,133.0,7.5,62783.0,tt0110932,9.6,8.8,,4.0,,
1994.0,2.0,5.0,94.0,6.6,1037.0,tt0114129,8.2,,,,,
1994.0,3.0,12.0,159.0,7.4,15699.0,tt0110963,8.1,,,1.0,,
1995.0,3.0,2.0,107.0,6.4,82242.0,tt0114214,5.7,4.9,,,,
1995.0,1.0,3.0,108.0,6.4,1691.0,tt0114296,2.9,,,1.0,,
1994.0,3.0,12.0,133.0,5.1,13959.0,tt0110907,2.4,4.8,,,,2.0
1994.0,3.0,11.0,99.0,8.1,85205.0,tt0111495,10.0,10.0,,3.0,,
1993.0,3.0,9.0,94.0,7.9,84602.0,tt0108394,9.8,8.5,,,,3.0
1994.0,3.0,6.0,92.0,7.6,60251.0,tt0111507,8.7,8.8,,,,
1994.0,3.0,6.0,111.0,7.0,448.0,tt0110769,8.0,,,,,
1995.0,0.0,11.0,85.0,5.5,1810.0,tt0114268,,,,,,
1995.0,2.0,4.0,95.0,5.3,2486.0,tt0114571,3.0,5.4,,,,
1994.0,0.0,11.0,90.0,6.4,22003.0,tt0111333,5.0,,,,,1.0
1994.0,1.0,2.0,103.0,7.5,6700.0,tt0111112,9.5,,,,,
1994.0,3.0,10.0,110.0,5.6,60708.0,tt0111255,0.7,,,,,
